id,name,lat,lng,type
128,2011 Reef,27.5272,-80.17285,Reef
129,2013 Reef,27.39252,-80.04935,Reef
130,2013 Reef,27.53472,-80.19055,Reef
131,2017 East Patch,26.36742,-82.28535,Structure
132,2017 West Patch,26.36738,-82.29107,Structure
133,2018 Kerry Dillon Site,27.197,-80.09232,Structure
134,2018 Kerry Dillon Site,27.19793,-80.09788,Structure
135,2018 Miramar/Frangista,30.3285,-86.38383,Reef
136,2021 Reef Darts,26.77038,-79.9664,Reef
137,2022 Reef Darts,26.77485,-79.9664,Reef
138,2023 Pbff Reef,26.77213,-79.96353,Reef
139,2024 FWC Patch Reef,29.6356,-83.90572,Reef
140,2024 UMA Deployment,30.31257,-86.1589,Structure
141,20 Fthole,26.87184,-82.12895,Hole
142,21 Concrete Reef Modules,30.09837,-87.12755,Reef
143,21 Fathom Hole,39.79633,-73.608,Hole
144,21 Fathom Wreck,28.5045,-80.18183,Wreck
145,21 Foot Ledge,42.27863,-70.70988,Ledge
146,21 Hole,30.03167,-87.22,Hole
